"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X219655",0.019859869533703795,0.840251268422324,0.13679632761536561,0.0006764919062575505,0.0,0.0,0.00125634211162116,0.00115970041072723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219657",0.11427142936503566,0.8676740181101046,0.01699905560802181,0.001055496916837953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219658",0.2955288985823335,0.6913849509269357,0.0,0.0109051254089422,0.0,0.0,0.00218102508178844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219668",0.48960000000000004,0.49119999999999997,0.0144,0.0,0.0,0.0,0.0016,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219670",0.013187360039810898,0.8395745210251307,0.14139089325702908,0.005162975864642944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000684249813386414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219669",0.013396210666889242,0.8950421500709461,0.08880727819046826,0.002420499123612387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333861948084467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219675",0.034211631954864694,0.34331672768741356,0.2043094652181741,0.00186063261508913,0.0,0.000240081627753436,0.000120040813876718,0.415941420082828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219676",0.03695709629107573,0.4432208615980974,0.17377323583825202,0.00603471059818518,0.0,0.0,0.0,0.34001409567439006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219691",0.045377847414728195,0.8283717006146804,0.11871760877425534,0.003374713751958541,0.0,0.0,0.0,0.00313366276967579,0.0,0.0,0.0,0.0,0.0010244666747017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219692",0.0833333333333333,0.0,0.216666666666667,0.3000000000000003,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
